"Name","AppID"
"Thunderstore Mod Manager","overwolf.ahpflogoookodlegojjphcjpjaejgghjnfcdjdmi"
"TI Connect CE","{6D809377-6AF0-444B-8957-A3773F02200E}\TI Education\TI Connect CE\TI Connect CE.exe"
"TI-Nspire CX CAS Student Software","{6D809377-6AF0-444B-8957-A3773F02200E}\TI Education\TI-Nspire CX CAS Student Software\TI-Nspire CX CAS Student Software.exe"
"Toolkit","Toolkit"
"TranslucentTB","28017CharlesMilette.TranslucentTB_v826wp6bftszj!TranslucentTB"
"Ubisoft Connect","Ubisoft.UPC.MainProcess"
"Ultimate Chicken Horse","steam://rungameid/386940"
"Uninstall","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\AirDroidCast\uninst.exe"
"Uninstall","{6D809377-6AF0-444B-8957-A3773F02200E}\LittleBigMouse\Uninstall.exe"
"Uninstall 2024.1","Microsoft.AutoGenerated.{C7E5C441-4A8D-6776-D851-56D6FF740B61}"
"Uninstall DocNav","Microsoft.AutoGenerated.{EEB9A47F-5864-726A-9B34-DAF4768B42FE}"
"Uninstall EasyEDA Pro","C:\Users\chave\AppData\Local\Programs\easyeda-pro\unins000.exe"
"Uninstall LTspice 24.0.12.0","Microsoft.AutoGenerated.{EC61DA55-E60D-CB7A-8FE0-6B61CFBF3EC6}"
"Uninstall MCC Tool Chest","Microsoft.AutoGenerated.{A73BB359-C05B-4270-2D1F-55147A2CEB0C}"
"Uninstall Node.js","Microsoft.AutoGenerated.{54C0E058-6446-5599-1127-6DE8E853108C}"
"Uninstall PairVPN","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\PairVPN\unins000.exe"
"Uninstall Qt Design Studio","C:\Users\chave\OneDrive\Desktop\undefined"
"Uninstall rpiboot","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Raspberry Pi\Uninstall.exe"
"Uninstall SeaTools","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\SeaTools5\uninstall.exe"
"Uninstall Xilinx Information Center","Microsoft.AutoGenerated.{3E8F3518-E36D-3C7D-B458-47FEDF41E48A}"
"Universal Minecraft Tool","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Universal Minecraft Tool\UniversalMinecraftTool.exe"
"User Experience Improvement Program","AcerIncorporated.UserExperienceImprovementProgramV_48frkmn4z8aw4!App"
"User manual","{6D809377-6AF0-444B-8957-A3773F02200E}\Virtual Audio Cable\vac.chm"
"User manual (PDF, English)","{6D809377-6AF0-444B-8957-A3773F02200E}\Oracle\VirtualBox\doc\UserManual.pdf"
"VAC Control panel","{6D809377-6AF0-444B-8957-A3773F02200E}\Virtual Audio Cable\vcctlpan.exe"
"VALORANT","Microsoft.AutoGenerated.{B90C4CF3-5116-AEB7-2542-2440C94B666D}"
"VBAN-2-MIDI","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\VB\Voicemeeter\VBAN2MIDI.exe"
"Vensim PLE x64","{6D809377-6AF0-444B-8957-A3773F02200E}\Vensim\venPLE64.exe"
"Vensim PLE x64 Help","C:\Users\Public\Vensim\Vensim.chm"
"Vensim PLE x64 Sample Models","C:\Users\Public\Vensim\Help"
"Virtual IO Control Panel","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\VB\Voicemeeter\VBCABLE_ControlPanel.exe"
"Visual Studio Code","Microsoft.VisualStudioCode"
"Visual Studio Installer","Microsoft.VisualStudio.Installer"
"Vitis HLS 2024.1","C:\Xilinx\Vitis_HLS\2024.1\bin\vitis_hls.bat"
"Vitis HLS 2024.1 Command Prompt","C:\Xilinx\Vitis_HLS\2024.1\bin\vitis_hls_cmd.bat"
"Vivado 2024.1","Microsoft.AutoGenerated.{90BDC488-B019-7B2E-36DB-4083254EAB7B}"
"Vivado 2024.1 Tcl Shell","Microsoft.AutoGenerated.{EFC91679-F77B-1E4D-FC65-161CB8979E5A}"
"VM Streamer View","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\VB\Voicemeeter\VMStreamerView.exe"
"Voice access","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\voiceaccess.exe"
"Voicemeeter","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\VB\Voicemeeter\voicemeeter.exe"
"Wallpaper Engine","steam://rungameid/431960"
"Warhammer 40,000: Darktide","FatsharkAB.Warhammer40000DarktideNew_hwm6pnepa3ng2!launcher.launcher"
"Warhammer Vermintide 2","steam://rungameid/552500"
"Weather","Microsoft.BingWeather_8wekyb3d8bbwe!App"
"Webex","C:\Users\chave\AppData\Local\Programs\Cisco Spark\CiscoCollabHost.exe"
"WebStorm 2024.3.1","{6D809377-6AF0-444B-8957-A3773F02200E}\JetBrains\WebStorm 2024.3.1\bin\webstorm64.exe"
"Wii U USB Helper","C:\Users\chave\AppData\Roaming\USBHelperLauncher\USBHelperLauncher.exe"
"WinDbg (X64)","{6D809377-6AF0-444B-8957-A3773F02200E}\Windows Kits\10\Debuggers\x64\windbg.exe"
"WinDbg (X86)","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\Debuggers\x86\windbg.exe"
"Windows Backup","MicrosoftWindows.Client.CBS_cw5n1h2txyewy!WindowsBackup"
"Windows Defender Firewall with Advanced Security","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WF.msc"
"Windows Fax and Scan","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WFS.exe"
"Windows Media Player Legacy","Microsoft.Windows.MediaPlayer32"
"Windows Memory Diagnostic","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\MdSched.exe"
"Windows PowerShell","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\powershell.exe"
"Windows PowerShell (x86)","{D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\powershell.exe"
"Windows PowerShell ISE","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\PowerShell_ISE.exe"
"Windows PowerShell ISE (x86)","{D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\PowerShell_ISE.exe"
"Windows Sandbox","Microsoft.Windows.Containers.Sandbox"
"Windows Security","Microsoft.SecHealthUI_8wekyb3d8bbwe!SecHealthUI"
"Windows Subsystem for Android?","MicrosoftCorporationII.WindowsSubsystemForAndroid_8wekyb3d8bbwe!SettingsApp"
"Windows Tools","Microsoft.Windows.AdministrativeTools"
"Windscribe","{6D809377-6AF0-444B-8957-A3773F02200E}\Windscribe\WindscribeLauncher.exe"
"WinSCP","C:\Users\chave\AppData\Local\Programs\WinSCP\WinSCP.exe"
"Wireshark","{6D809377-6AF0-444B-8957-A3773F02200E}\Wireshark\Wireshark.exe"
"WooTechy iMoveGo","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\WooTechy\WooTechy iMoveGo\iMoveGo.exe"
"wootility-lekker","com.electron.wootility-lekker"
"Word","Microsoft.Office.WINWORD.EXE.15"
"WSL","Microsoft.WSL"
"WSL Settings","{6D809377-6AF0-444B-8957-A3773F02200E}\WSL\wslsettings\wslsettings.exe"
"Xbox","Microsoft.GamingApp_8wekyb3d8bbwe!Microsoft.Xbox.App"
"Xbox Accessories","Microsoft.XboxDevices_8wekyb3d8bbwe!App"
"Xilinx Information Center","C:\Xilinx\xic\xic.exe"
"Zoom","zoom.us.Zoom Video Meetings"
